date,prize_1st,prize_pre_3digit,prize_sub_3digits,prize_2digits,nearby_1st,prize_2nd,prize_3rd,prize_4th,prize_5th
2024-12-16,097863,"['290', '742']","['339', '881']",21,"['097862', '097864']","['077335', '142161', '208137', '773959', '885770']","['132601', '164003', '214955', '232859', '346727', '431928', '543369', '546762', '579783', '882472']","['005170', '142726', '226962', '351494', '512221', '601662', '665998', '739701', '807334', '934591', '009226', '142837', '239277', '441853', '515844', '610101', '690417', '746765', '821551', '940955', '062558', '194802', '270861', '450486', '555474', '624287', '693110', '785942', '829492', '953159', '090523', '197755', '325011', '467237', '565216', '657613', '699145', '801458', '883128', '961926', '112272', '216600', '332505', '486524', '577454', '658743', '736296', '807271', '896429', '997599']","['000720', '126272', '188327', '277818', '381363', '518176', '643234', '738784', '840150', '924064', '005446', '129244', '216550', '294466', '383136', '520703', '649102', '742608', '840505', '933526', '012690', '132312', '234386', '295057', '384252', '521374', '652077', '744745', '844198', '943132', '022294', '133265', '240986', '321051', '403646', '535868', '674832', '759966', '859044', '948959', '025790', '145400', '249618', '325180', '403966', '536880', '710802', '760206', '864713', '957217', '026835', '160740', '251189', '326384', '435555', '557342', '715352', '761774', '869600', '961592', '043888', '171540', '254796', '350040', '469805', '558938', '718628', '780180', '876705', '963351', '076243', '173566', '263787', '351317', '488721', '587085', '720511', '804602', '892314', '980861', '095262', '178296', '267029', '352605', '510444', '589843', '721765', '815269', '901378', '986987', '120133', '179844', '272076', '370241', '512588', '601202', '724824', '836320', '906805', '995220']"
2024-12-01,669843,"['559', '626']","['098', '654']",61,"['669842', '669844']","['127223', '141669', '257611', '362623', '511822']","['007427', '063530', '225443', '361496', '412183', '489823', '632428', '781904', '799112', '988373']","['017721', '086494', '213958', '276443', '412207', '523975', '631207', '711163', '803676', '908080', '019273', '092386', '221943', '287059', '415228', '529435', '635435', '721991', '823603', '913697', '022020', '110508', '244738', '292911', '468693', '556792', '656044', '777702', '840761', '920410', '042702', '150524', '251466', '310734', '485229', '612785', '661196', '783205', '858067', '954641', '060334', '173524', '256247', '311035', '506997', '621091', '702772', '786108', '865378', '969664']","['000444', '119815', '213187', '290402', '422780', '516740', '659735', '759860', '862439', '942694', '004229', '129254', '220724', '295735', '425408', '518718', '660109', '767161', '864440', '950649', '029563', '159762', '224868', '310173', '437355', '555795', '661043', '794753', '865280', '958709', '045935', '160838', '225464', '329479', '466629', '562496', '697223', '798613', '889207', '972507', '062626', '165517', '244443', '340190', '472750', '570477', '704404', '801515', '891591', '972663', '072992', '176011', '246732', '353846', '472981', '587103', '719345', '805620', '894211', '978088', '075074', '177886', '247480', '355059', '477673', '594170', '743273', '824063', '902108', '980718', '094632', '183717', '250963', '372901', '491890', '621010', '752228', '832512', '908469', '980858', '102006', '193042', '262620', '394095', '502139', '635061', '754440', '847276', '918078', '988116', '108046', '205941', '264021', '406805', '515208', '647410', '758463', '858864', '926936', '998784']" 
